Fitness,Label,Type,TrainDelta,TestDelta,AP_Eng,HDG_Mode,ALT_Mode,HDG_Ref,TurnK,ALT_Ref,Pwheel,Throttle,alt,term,termMin,termMax,Pct,State
-35.5405511811034,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.4094488189,-35.5405511811034,-35.5405511811034,-35.5405511811034,,
-35.5424898686744,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.40751013133,-35.5424898686744,-35.5424898686744,-35.5424898686744,,
-35.548369020262,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.40163097974,-35.548369020262,-35.548369020262,-35.548369020262,,
-35.5581823936838,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.39181760632,-35.5581823936838,-35.5581823936838,-35.5581823936838,,
-35.5718926657557,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.37810733424,-35.5718926657557,-35.5718926657557,-35.5718926657557,,
-35.5893488293425,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.36065117066,-35.5893488293425,-35.5893488293425,-35.5893488293425,,
-35.6102218937687,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.33977810623,-35.6102218937687,-35.6102218937687,-35.6102218937687,,
-35.6340953738183,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.31590462618,-35.6340953738183,-35.6340953738183,-35.6340953738183,,
-35.6605486307555,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.28945136924,-35.6605486307555,-35.6605486307555,-35.6605486307555,,
-35.6891837723035,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.2608162277,-35.6891837723035,-35.6891837723035,-35.6891837723035,,
-35.7196762525957,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.2303237474,-35.7196762525957,-35.7196762525957,-35.7196762525957,,
-35.7518637309688,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.19813626903,-35.7518637309688,-35.7518637309688,-35.7518637309688,,
-35.7856966000711,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.16430339993,-35.7856966000711,-35.7856966000711,-35.7856966000711,,
-35.821139002119,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.12886099788,-35.821139002119,-35.821139002119,-35.821139002119,,
-35.8581021250531,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.09189787495,-35.8581021250531,-35.8581021250531,-35.8581021250531,,
-35.8964395380337,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.05356046197,-35.8964395380337,-35.8964395380337,-35.8964395380337,,
-35.9359785785739,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7224.01402142143,-35.9359785785739,-35.9359785785739,-35.9359785785739,,
-35.9765531866235,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.97344681338,-35.9765531866235,-35.9765531866235,-35.9765531866235,,
-36.0180194647557,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.93198053524,-36.0180194647557,-36.0180194647557,-36.0180194647557,,
-36.0602543951756,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.88974560482,-36.0602543951756,-36.0602543951756,-36.0602543951756,,
-36.103146706295,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.8468532937,-36.103146706295,-36.103146706295,-36.103146706295,,
-36.1465886128373,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.80341138716,-36.1465886128373,-36.1465886128373,-36.1465886128373,,
-36.1904722859737,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.75952771403,-36.1904722859737,-36.1904722859737,-36.1904722859737,,
-36.2346903877389,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.71530961226,-36.2346903877389,-36.2346903877389,-36.2346903877389,,
-36.2791383416718,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.67086165833,-36.2791383416718,-36.2791383416718,-36.2791383416718,,
-36.3237161554363,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.62628384456,-36.3237161554363,-36.3237161554363,-36.3237161554363,,
-36.3683289726834,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.58167102732,-36.3683289726834,-36.3683289726834,-36.3683289726834,,
-36.4128867032016,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.5371132968,-36.4128867032016,-36.4128867032016,-36.4128867032016,,
-36.4573031792435,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.49269682076,-36.4573031792435,-36.4573031792435,-36.4573031792435,,
-36.5014956020279,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.44850439797,-36.5014956020279,-36.5014956020279,-36.5014956020279,,
-36.5453842758381,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.40461572416,-36.5453842758381,-36.5453842758381,-36.5453842758381,,
-36.588892630689,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.36110736931,-36.588892630689,-36.588892630689,-36.588892630689,,
-36.6319470492637,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.31805295074,-36.6319470492637,-36.6319470492637,-36.6319470492637,,
-36.6744771864071,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.27552281359,-36.6744771864071,-36.6744771864071,-36.6744771864071,,
-36.7164157054733,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.23358429453,-36.7164157054733,-36.7164157054733,-36.7164157054733,,
-36.7576981676022,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.1923018324,-36.7576981676022,-36.7576981676022,-36.7576981676022,,
-36.7982628634492,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.15173713655,-36.7982628634492,-36.7982628634492,-36.7982628634492,,
-36.8380507000122,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.11194929999,-36.8380507000122,-36.8380507000122,-36.8380507000122,,
-36.8770051089607,0,0,0,0,1,0,0,-163.378299372785,31.2672880339118,7260,15.9310072889401,0.489764395788231,7223.07299489104,-36.8770051089607,-36.8770051089607,-36.8770051089607,,
