Fitness,Label,Type,TrainDelta,TestDelta,AP_Eng,HDG_Mode,ALT_Mode,HDG_Ref,TurnK,ALT_Ref,Pwheel,Throttle,alt,term,termMin,termMax,Pct,State
-35.5405511811034,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.4094488189,-35.5405511811034,-35.5405511811034,-35.5405511811034,,
-35.5435107962277,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.40648920377,-35.5435107962277,-35.5435107962277,-35.5435107962277,,
-35.5524016359861,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.39759836401,-35.5524016359861,-35.5524016359861,-35.5524016359861,,
-35.5671313156356,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.38286868436,-35.5671313156356,-35.5671313156356,-35.5671313156356,,
-35.5875504483904,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.36244955161,-35.5875504483904,-35.5875504483904,-35.5875504483904,,
-35.6133067873272,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.33669321267,-35.6133067873272,-35.6133067873272,-35.6133067873272,,
-35.6439134650302,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.30608653497,-35.6439134650302,-35.6439134650302,-35.6439134650302,,
-35.6788652270581,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.27113477294,-35.6788652270581,-35.6788652270581,-35.6788652270581,,
-35.7176751284935,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.23232487151,-35.7176751284935,-35.7176751284935,-35.7176751284935,,
-35.7598839323211,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.19011606768,-35.7598839323211,-35.7598839323211,-35.7598839323211,,
-35.8050961059382,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.14490389406,-35.8050961059382,-35.8050961059382,-35.8050961059382,,
-35.8530896779332,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.09691032207,-35.8530896779332,-35.8530896779332,-35.8530896779332,,
-35.9037843368926,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7224.04621566311,-35.9037843368926,-35.9037843368926,-35.9037843368926,,
-35.9571440704769,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7223.99285592952,-35.9571440704769,-35.9571440704769,-35.9571440704769,,
-36.0131010597108,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7223.93689894029,-36.0131010597108,-36.0131010597108,-36.0131010597108,,
-36.0715020492446,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7223.87849795076,-36.0715020492446,-36.0715020492446,-36.0715020492446,,
-36.1321348131407,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7223.81786518686,-36.1321348131407,-36.1321348131407,-36.1321348131407,,
-36.1947792405656,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7223.75522075943,-36.1947792405656,-36.1947792405656,-36.1947792405656,,
-36.2592425683426,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7223.69075743166,-36.2592425683426,-36.2592425683426,-36.2592425683426,,
-36.3253658168143,0,0,0,0,1,0,0,167.35987267174,43.0725126709326,7260,17.5324397735733,0.0357116785741896,7223.62463418319,-36.3253658168143,-36.3253658168143,-36.3253658168143,,
